Scenario Capacity Slack Demand DistanceTraveled RidingTime WaitingTime Obj ComputationTime
31_56 15 0.25 200 9.09631 131.105 37.3367 177.538 2.5739
31_57 15 0.25 300 12.5735 207.362 1424.75 1644.68 12.9048
31_58 15 0.25 300 12.369 209.467 1517.18 1739.02 13.1482
31_59 15 0.25 300 12.9203 208.418 1544.74 1766.08 13.7708
31_60 15 0.25 400 17.1449 275.539 4676.38 4969.06 59.7201
31_61 15 0.25 400 16.9574 264.845 4599.78 4881.58 57.6477
31_62 15 0.25 400 17.8989 273.79 4761.4 5053.09 60.5695
31_63 20 0.25 200 8.78223 139.185 42.606 190.573 1.49251
31_64 20 0.25 200 8.67697 135.349 45.1464 189.173 1.40145
31_65 20 0.25 200 8.76802 137.359 43.4187 189.546 1.44141
31_66 20 0.25 300 10.7188 206.207 408.307 625.233 5.8665
31_67 20 0.25 300 10.7505 204.62 453.228 668.598 6.0736
31_68 20 0.25 300 10.7959 208.301 429.13 648.226 5.93498
31_69 20 0.25 400 13.6535 288.941 2063.9 2366.5 22.5267
31_70 20 0.25 400 13.6492 279.924 1994.7 2288.27 20.4561
31_71 20 0.25 400 13.7882 286.042 2150.06 2449.89 23.5792
31_72 25 0.25 200 8.87044 140.785 38.3455 188.001 0.688422
31_73 25 0.25 200 8.7946 138.681 41.7371 189.212 0.6866
31_74 25 0.25 200 8.78986 144.356 40.2797 193.425 0.629205
31_75 25 0.25 300 10.7616 220.7 84.1931 315.654 3.68
31_76 25 0.25 300 10.3441 212.039 60.3606 282.744 4.22641
31_77 25 0.25 300 10.2938 212.213 59.5916 282.098 4.24528
31_78 25 0.25 400 13.3401 283.257 876.966 1173.56 11.7136
31_79 25 0.25 400 12.3005 292.247 620.592 925.14 10.9886
31_80 25 0.25 400 13.0149 289.069 781.865 1083.95 11.2982
32_0 15 0.08 200 10.978 40.6329 820.447 872.058 12.5738
32_1 15 0.08 200 11.2302 35.0144 845.854 892.099 14.2279
32_2 15 0.08 200 12.2809 40.4058 1250.31 1302.99 18.0894
32_3 15 0.08 300 17.3645 48.5586 3215.99 3281.92 77.5016
32_4 15 0.08 300 17.6634 59.7588 3348.37 3425.79 91.5434
32_5 15 0.08 300 19.0698 57.7616 3598.99 3675.82 124.232
32_6 15 0.08 400 25.9977 76.0803 7094.84 7196.92 327.534
32_7 15 0.08 400 23.821 74.3671 6481.71 6579.89 284.892
32_8 15 0.08 400 24.7917 70.4347 6447.71 6542.94 309.983
32_9 20 0.08 200 12.206 38.8682 1084.08 1135.16 17.7331
32_10 20 0.08 200 11.0613 37.7973 1030.94 1079.8 19.3866
32_11 20 0.08 200 11.6395 39.6077 1103.1 1154.34 17.6118
32_12 20 0.08 300 17.7918 57.2065 3349.18 3424.18 114.261
32_13 20 0.08 300 19.3813 55.267 3926.55 4001.2 139.925
32_14 20 0.08 300 17.7837 59.4874 3130.59 3207.86 96.6754
32_15 20 0.08 400 24.4491 73.8863 6515.84 6614.17 286.392
32_16 20 0.08 400 25.4803 78.5998 6874.53 6978.61 305.87
32_17 20 0.08 400 23.3872 72.8829 6424.6 6520.87 272.179
32_18 25 0.08 200 11.9527 35.5059 1144.19 1191.65 15.4956
32_19 25 0.08 200 11.8991 39.0863 962.727 1013.71 13.6693
32_20 25 0.08 200 13.9152 39.7773 1693.16 1746.85 24.784
32_21 25 0.08 300 17.3802 57.2187 3102.51 3177.1 72.3503
32_22 25 0.08 300 19.0141 62.1572 3506.33 3587.5 86.6542
32_23 25 0.08 300 18.5311 59.3336 3382.53 3460.4 80.3739
32_24 25 0.08 400 23.5069 71.8329 6143.47 6238.81 265.328
32_25 25 0.08 400 22.787 73.0621 6217.03 6312.88 259.092
32_26 25 0.08 400 24.7524 73.4625 6625.38 6723.6 277.839
32_27 15 0.16 200 9.43991 91.8001 205.068 306.308 3.17085
32_28 15 0.16 200 9.23269 103.29 155.619 268.141 2.92823
32_29 15 0.16 200 9.52163 109.481 154.576 273.578 2.84446
32_30 15 0.16 300 12.8602 150.75 1491.92 1655.53 16.8612
32_31 15 0.16 300 12.8517 153.64 1448.18 1614.67 16.804
32_32 15 0.16 300 12.3454 159.596 1402.76 1574.7 16.1281
32_33 15 0.16 400 17.4685 200.5 3864.35 4082.32 69.5995
32_34 15 0.16 400 17.2294 209.022 3766.45 3992.7 66.0714
32_35 15 0.16 400 16.9166 216.035 3676.97 3909.92 64.2041
32_36 20 0.16 200 8.39459 101.077 30.6811 140.152 1.89952
32_37 20 0.16 200 8.20965 107.977 30.5818 146.769 1.74653
32_38 20 0.16 200 8.61803 103.978 28.9358 141.532 1.8655
32_39 20 0.16 300 10.8636 158.482 399.434 568.779 6.89502
32_40 20 0.16 300 11.0375 155.923 485.983 652.944 7.24753
32_41 20 0.16 300 11.2876 159.874 640.38 811.541 8.64521
32_42 20 0.16 400 14.448 212.286 2167.17 2393.9 32.312
32_43 20 0.16 400 14.2533 217.887 2210.31 2442.45 34.1807
32_44 20 0.16 400 14.0134 214.469 2063.68 2292.16 29.7098
32_45 25 0.16 200 8.4815 107.647 29.7825 145.911 1.23813
32_46 25 0.16 200 8.31942 106.53 34.277 149.127 1.52651
32_47 25 0.16 200 8.17405 101.939 26.9109 137.024 1.24521
32_48 25 0.16 300 10.601 162.694 312.876 486.171 6.4925
32_49 25 0.16 300 10.8025 157.368 411.097 579.267 6.91925
32_50 25 0.16 300 10.3583 160.451 400.22 571.029 6.56107
32_51 25 0.16 400 14.5986 218.532 2217.23 2450.36 33.1595
32_52 25 0.16 400 12.7774 222.658 1301.6 1537.03 18.3221
32_53 25 0.16 400 12.888 219.504 1609.13 1841.52 22.2092
32_54 15 0.25 200 9.22718 133.662 38.2937 181.183 2.57425
32_55 15 0.25 200 9.11539 132.383 34.2379 175.736 2.5898
32_56 15 0.25 200 9.5644 135.018 172.507 317.089 2.64962
32_57 15 0.25 300 13.5693 209.74 1651.98 1875.29 14.0773
32_58 15 0.25 300 12.7196 214.882 1663.38 1890.98 14.2059
32_59 15 0.25 300 12.8722 203.29 1539.97 1756.13 13.175
32_60 15 0.25 400 16.7289 280.202 4832.76 5129.7 60.271
32_61 15 0.25 400 17.3646 276.91 4624.65 4918.93 58.7231
32_62 15 0.25 400 16.6004 272.027 4582.25 4870.88 58.2595
32_63 20 0.25 200 8.78434 138.078 40.2487 187.111 1.46251
32_64 20 0.25 200 8.99804 138.36 41.8331 189.191 1.36092
32_65 20 0.25 200 8.95088 139.381 35.0783 183.41 1.4029
32_66 20 0.25 300 10.7965 201.308 317.603 529.707 6.06596
32_67 20 0.25 300 10.7462 204.122 470.046 684.915 6.24977
32_68 20 0.25 300 10.6628 213.717 424.858 649.237 6.19242
32_69 20 0.25 400 13.0836 274.424 2046.26 2333.77 22.2385
32_70 20 0.25 400 13.5123 289.455 2108.54 2411.5 22.7992
32_71 20 0.25 400 13.5295 280.119 2081.35 2375 24.0079
32_72 25 0.25 200 8.66714 134.41 39.2306 182.308 0.99806
32_73 25 0.25 200 8.87451 142.321 42.1164 193.312 0.944715
32_74 25 0.25 200 8.69014 135.927 39.3504 183.967 0.867351
32_75 25 0.25 300 10.2884 211.858 60.9937 283.14 4.96968
32_76 25 0.25 300 10.3097 211.869 56.8862 279.065 5.41932
32_77 25 0.25 300 10.529 212.294 61.376 284.199 5.78274
32_78 25 0.25 400 12.6783 295.077 534.457 842.212 13.5019
32_79 25 0.25 400 12.4772 286.92 600.231 899.629 13.4006
32_80 25 0.25 400 12.6401 285.63 740.134 1038.4 10.5181
33_0 15 0.08 200 11.2955 38.9514 908.447 958.694 10.4473
33_1 15 0.08 200 12.6808 37.5355 1275.92 1326.14 17.4891
33_2 15 0.08 200 11.7032 38.388 1104.28 1154.37 15.0972
33_3 15 0.08 300 17.9306 55.0954 3301.34 3374.37 78.4654
33_4 15 0.08 300 17.6804 61.2327 3246.59 3325.5 77.1314
33_5 15 0.08 300 17.8972 59.0799 3249.98 3326.96 78.882
33_6 15 0.08 400 24.9038 72.0863 6734.89 6831.88 308.539
33_7 15 0.08 400 21.9279 77.0854 5452.85 5551.86 264.043
33_8 15 0.08 400 22.3068 81.1987 5663.09 5766.59 288.097
33_9 20 0.08 200 12.0247 37.1822 1056.71 1105.92 16.9033
33_10 20 0.08 200 12.4929 38.5358 1142.99 1194.02 19.3072
33_11 20 0.08 200 12.8954 44.7403 1242.27 1299.9 21.0355
33_12 20 0.08 300 18.7992 60.0493 3577.75 3656.6 93.4563
33_13 20 0.08 300 17.6525 51.6953 3060.07 3129.42 72.8168
33_14 20 0.08 300 17.5492 53.9727 3238.88 3310.4 77.1569
33_15 20 0.08 400 24.4256 82.7011 6215.71 6322.84 338.842
33_16 20 0.08 400 23.9872 72.2513 6347.78 6444.02 279.443
33_17 20 0.08 400 24.9831 78.2692 6420.69 6523.94 258.407
33_18 25 0.08 200 12.3407 37.5028 1285.67 1335.51 17.3294
33_19 25 0.08 200 10.8671 37.403 866.215 914.485 11.0678
33_20 25 0.08 200 12.7194 38.8976 1378.5 1430.12 17.9398
33_21 25 0.08 300 17.3857 65.4721 2821.29 2904.15 62.4264
33_22 25 0.08 300 18.3512 56.1075 3423.57 3498.03 86.3794
33_23 25 0.08 300 17.7014 55.8238 3289.73 3363.25 78.8798
33_24 25 0.08 400 24.8055 70.4291 6602.49 6697.73 280.805
33_25 25 0.08 400 25.4371 78.5146 7062.15 7166.1 323.041
33_26 25 0.08 400 25.4917 75.4086 6906.31 7007.21 288.492
33_27 15 0.16 200 9.22092 103.064 172.152 284.437 2.98603
33_28 15 0.16 200 8.79846 98.3443 189.207 296.35 3.163
33_29 15 0.16 200 9.16813 104.249 75.2966 188.714 2.87415
33_30 15 0.16 300 12.7123 155.565 1416.24 1584.52 16.3441
33_31 15 0.16 300 13.1289 160.261 1652.96 1826.35 19.7039
33_32 15 0.16 300 12.8586 162.562 1438.07 1613.5 16.4389
33_33 15 0.16 400 16.9857 209.247 4059.83 4286.06 76.151
33_34 15 0.16 400 16.9192 210.106 3896.37 4123.4 70.4204
33_35 15 0.16 400 17.4283 217.748 3776.33 4011.51 67.2044
33_36 20 0.16 200 8.90534 107.902 29.4782 146.286 1.64461
33_37 20 0.16 200 8.23725 99.6611 29.7292 137.628 1.48991
33_38 20 0.16 200 8.4272 103.22 33.2266 144.874 1.67014
33_39 20 0.16 300 10.9037 160.455 364.015 535.374 6.94913
33_40 20 0.16 300 10.8478 153.225 504.002 668.075 7.12591
33_41 20 0.16 300 10.8171 157.823 448.236 616.876 7.99606
33_42 20 0.16 400 14.3354 215.854 2137.75 2367.94 29.16
33_43 20 0.16 400 13.8289 216.661 2126.75 2357.24 30.9951
33_44 20 0.16 400 14.3143 218.142 2235.33 2467.79 33.7633
33_45 25 0.16 200 8.32308 102.649 28.2831 139.255 1.26328
33_46 25 0.16 200 8.38837 104.582 31.0306 144.001 1.451
33_47 25 0.16 200 8.30423 104.605 30.3248 143.234 1.25331
33_48 25 0.16 300 10.9299 159.457 552.214 722.601 6.79437
33_49 25 0.16 300 10.3955 164.039 442.101 616.536 5.82626
33_50 25 0.16 300 10.1894 161.033 125.397 296.619 5.73136
33_51 25 0.16 400 12.9604 222.022 1628.82 1863.8 23.6969
33_52 25 0.16 400 12.5988 218.992 973.443 1205.03 15.4084
33_53 25 0.16 400 13.8949 221.327 1749.21 1984.43 23.9708
33_54 15 0.25 200 9.48384 134.518 60.6529 204.655 2.45903
33_55 15 0.25 200 9.54193 128.904 103.289 241.735 2.58086
33_56 15 0.25 200 9.46351 133.321 122.37 265.154 2.73468
33_57 15 0.25 300 12.5329 198.414 1395.37 1606.31 12.5894
33_58 15 0.25 300 12.8988 209.035 1632.6 1854.53 14.214
33_59 15 0.25 300 12.7321 210.37 1523.89 1746.99 12.7473
33_60 15 0.25 400 17.3324 273.922 4616.86 4908.11 57.0676
33_61 15 0.25 400 17.0139 275.464 4893.06 5185.54 62.9715
33_62 15 0.25 400 17.0181 276.318 4943.24 5236.57 62.534
33_63 20 0.25 200 8.61066 134.078 43.9142 186.602 1.36939
33_64 20 0.25 200 8.74095 138.764 46.4839 193.989 1.39338
33_65 20 0.25 200 8.55065 139.611 43.3605 191.522 1.30656
33_66 20 0.25 300 10.946 208.045 410.27 629.26 5.98754
33_67 20 0.25 300 11.592 206.862 434.682 653.136 6.12767
33_68 20 0.25 300 10.5809 206.159 362.121 578.861 5.67618
33_69 20 0.25 400 13.1552 281.881 2071.55 2366.58 22.5617
33_70 20 0.25 400 14.5766 280.412 2264.88 2559.87 26.0631
33_71 20 0.25 400 14.0146 284.627 2257.7 2556.34 31.5431
33_72 25 0.25 200 8.89059 143.966 43.9162 196.773 0.935695
33_73 25 0.25 200 8.48961 134.114 42.8076 185.411 1.0931
33_74 25 0.25 200 8.91284 143.452 39.92 192.285 0.736735
33_75 25 0.25 300 10.5933 213.62 58.5172 282.73 5.16771
33_76 25 0.25 300 10.6068 213.949 55.959 280.515 5.42847
33_77 25 0.25 300 10.3483 205.682 65.3988 281.429 5.18593
33_78 25 0.25 400 12.8601 293.071 784.985 1090.92 14.3013
33_79 25 0.25 400 13.0567 291.073 703.068 1007.2 13.4899
33_80 25 0.25 400 12.9293 296.524 802.863 1112.32 14.3014
34_0 15 0.08 200 11.0764 45.2265 790.054 846.357 12.8973

34_3 15 0.08 300 18.3096 57.1376 3571.29 3646.74 106.656

34_6 15 0.08 400 23.6063 75.2047 6591.5 6690.31 297.016

34_9 20 0.08 200 11.9091 40.1425 1099 1151.06 13.9422

34_12 20 0.08 300 17.7977 57.2081 3129.95 3204.96 77.9037

34_15 20 0.08 400 24.0495 72.3382 6519.3 6615.68 275.803

34_18 25 0.08 200 11.7125 40.0452 1301.09 1352.85 17.5412

34_21 25 0.08 300 18.6216 58.8224 3520.85 3598.29 83.9053

34_24 25 0.08 400 23.9743 72.7384 6014.72 6111.44 240.701

34_27 15 0.16 200 9.42933 111.454 90.7333 211.616 2.80285

34_30 15 0.16 300 12.5496 155.161 1551.4 1719.11 23.0345

34_33 15 0.16 400 16.805 216.376 3968.38 4201.56 95.0698

34_36 20 0.16 200 8.55575 97.3329 27.9831 133.872 1.59075

34_39 20 0.16 300 10.9404 160.202 396.189 567.332 6.697

34_42 20 0.16 400 14.315 214.528 2708.44 2937.29 41.2272

34_45 25 0.16 200 8.35151 107.451 30.5291 146.332 1.34097

34_48 25 0.16 300 10.4925 164.317 282.889 457.699 5.90914

34_51 25 0.16 400 13.4729 211.929 1587.19 1812.59 21.3761

34_54 15 0.25 200 9.4006 132.185 106.798 248.384 2.65585

34_57 15 0.25 300 12.9363 207.523 1443.42 1663.88 12.5508

34_60 15 0.25 400 17.344 276.954 4753.02 5047.32 59.5396

34_63 20 0.25 200 8.87877 139.443 38.6781 187 1.35687

34_66 20 0.25 300 10.8986 207.685 471.1 689.684 6.09686

34_69 20 0.25 400 13.9367 278.378 2281.17 2573.49 24.6525

34_72 25 0.25 200 8.68834 141.766 43.7306 194.184 0.598906

34_75 25 0.25 300 10.4911 211.435 59.4867 281.413 3.91974

34_78 25 0.25 400 12.6864 291.757 728.404 1032.85 10.4999


