Scenario Capacity Slack Demand DistanceTraveled RidingTime WaitingTime Obj ComputationTime
28_65 20 0.25 200 8.91405 144.484 36.2876 189.686 1.37772
28_66 20 0.25 300 10.7269 213.064 404.908 628.699 5.98914
28_67 20 0.25 300 10.6676 209.132 382.188 601.987 5.83694
28_68 20 0.25 300 10.479 210.049 447.889 668.417 6.34872
28_69 20 0.25 400 13.1461 278.859 2037 2329 21.694
28_70 20 0.25 400 13.41 290.572 2110.53 2414.52 22.7538
28_71 20 0.25 400 13.4846 285.363 2068.52 2367.37 22.3542
28_72 25 0.25 200 8.89852 141.896 36.0891 186.884 0.590482
28_73 25 0.25 200 8.55275 138.551 39.7389 186.843 0.647301
28_74 25 0.25 200 8.64846 139.172 40.8269 188.648 0.499646
28_75 25 0.25 300 10.5708 214.328 60.7189 285.617 4.01846
28_76 25 0.25 300 10.5918 224.29 56.1918 291.074 3.93447
28_77 25 0.25 300 10.135 212.37 61.5228 284.028 3.92792
28_78 25 0.25 400 12.6591 280.86 623.891 917.41 10.4969
28_79 25 0.25 400 12.5144 286.869 827.766 1127.15 11.9558
28_80 25 0.25 400 12.9519 286.706 688.296 987.953 11.1018
29_0 15 0.08 200 12.2695 38.538 1040.78 1091.58 12.5144
29_1 15 0.08 200 12.3786 35.8252 1240.65 1288.86 16.1843
29_2 15 0.08 200 11.5636 38.1801 1044.04 1093.78 13.0294
29_3 15 0.08 300 19.0841 56.1054 3931.54 4006.73 106.018
29_4 15 0.08 300 17.6545 54.6886 3109.36 3181.7 71.3443
29_5 15 0.08 300 16.8889 64.4323 2779.22 2860.54 72.608
29_6 15 0.08 400 23.1427 69.375 6034.53 6127.05 337.107
29_7 15 0.08 400 24.3163 74.9195 6487.79 6587.03 325.166
29_8 15 0.08 400 24.5181 75.3189 6658.78 6758.62 369.789
29_9 20 0.08 200 11.8899 33.2678 1083.49 1128.65 18.0465
29_10 20 0.08 200 12.2343 33.8765 1250.49 1296.6 22.1933
29_11 20 0.08 200 12.7282 41.9183 1121.17 1175.82 19.0603
29_12 20 0.08 300 17.7123 59.8853 3103.68 3181.27 95.1258
29_13 20 0.08 300 17.6127 57.1833 3233.3 3308.09 99.7013
29_14 20 0.08 300 17.3718 54.9062 3180.5 3252.78 94.2429
29_15 20 0.08 400 24.1712 81.2965 6422.29 6527.76 277.363
29_16 20 0.08 400 25.8514 71.4289 6973.35 7070.63 306.914
29_17 20 0.08 400 24.32 73.3193 6608.25 6705.89 281.543
29_18 25 0.08 200 11.6587 36.6692 1174.6 1222.93 14.6793
29_19 25 0.08 200 12.0614 45.6486 1017.01 1074.72 13.6494
29_20 25 0.08 200 12.5722 39.0209 1150.39 1201.99 14.9889
29_21 25 0.08 300 17.7945 64.3407 3044.86 3127 69.1386
29_22 25 0.08 300 17.1766 54.0796 3091.46 3162.71 72.1693
29_23 25 0.08 300 19.2186 53.6308 3496.23 3569.08 84.2751
29_24 25 0.08 400 23.5384 73.1214 6509.38 6606.04 285.582
29_25 25 0.08 400 24.0371 80.9292 6232.87 6337.83 276.011
29_26 25 0.08 400 25.1209 76.6367 6774.16 6875.92 391.793
29_27 15 0.16 200 9.02624 100.309 136.692 246.027 4.08422
29_28 15 0.16 200 9.76939 96.772 256.168 362.709 4.35682
29_29 15 0.16 200 9.47933 96.3381 217.99 323.808 3.7309
29_30 15 0.16 300 12.7954 158.304 1676.73 1847.83 25.4358
29_31 15 0.16 300 12.4823 162.216 1416.07 1590.77 21.1644
29_32 15 0.16 300 12.7684 160.555 1549.48 1722.8 23.6174
29_33 15 0.16 400 16.7204 212.116 3902.03 4130.87 94.4262
29_34 15 0.16 400 17.6909 203.301 4011.37 4232.36 98.1239
29_35 15 0.16 400 17.2221 216.356 3786.69 4020.26 85.7157
29_36 20 0.16 200 8.80669 103.032 30.4961 142.335 2.06683
29_37 20 0.16 200 8.64607 108.959 28.4666 146.072 1.50628
29_38 20 0.16 200 8.29421 107.811 29.3298 145.435 1.55035
29_39 20 0.16 300 11.6717 158.252 598.289 768.213 7.45953
29_40 20 0.16 300 10.7983 158.638 461.346 630.783 7.98567
29_41 20 0.16 300 10.7299 160.484 396.951 568.165 9.75953
29_42 20 0.16 400 14.3565 218.945 1986.36 2219.66 40.0015
29_43 20 0.16 400 13.6328 220.121 2124.2 2357.96 42.7478
